"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contacthistory\contacthistory-contacthistory\contacthistory-contacthistory-config.ts", "TypeScript", -13, 0, 0, -5, -2, -20
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contacthistory\contacthistory-contacthistory\contacthistory-contacthistory-custom.component.scss", "SCSS", 0, 0, -144, -19, -26, -189
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contacthistory\contacthistory-contacthistory\contacthistory-contacthistory-custom.component.ts", "TypeScript", -13, 0, 0, -28, -5, -46
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contacthistory\contacthistory-contacthistory\contacthistory-contacthistory.component.html", "HTML", 0, -468, 0, -37, -1, -506
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contacthistory\contacthistory-contacthistory\contacthistory-contacthistory.component.ts", "TypeScript", -162, 0, 0, -148, -34, -344
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\contacthistory\contacthistory.module.ts", "TypeScript", -12, 0, 0, -1, -4, -17
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode-creditcode\creditcode-creditcode-config.ts", "TypeScript", 17, 0, 0, 5, 2, 24
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode-creditcode\creditcode-creditcode-custom.component.scss", "SCSS", 0, 0, 142, 8, 28, 178
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode-creditcode\creditcode-creditcode-custom.component.ts", "TypeScript", 13, 0, 0, 8, 3, 24
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode-creditcode\creditcode-creditcode.component.html", "HTML", 0, 676, 0, 56, 1, 733
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode-creditcode\creditcode-creditcode.component.ts", "TypeScript", 137, 0, 0, 118, 28, 283
"c:\Users\n-chinh_zd\AWAG_DEPLOY\src\app\creditcode\creditcode.module.ts", "TypeScript", 12, 0, 0, 1, 4, 17
"Total", "-", -21, 208, -2, -42, -6, 137
